Home Team;Away Team;Result
Anderlecht;Olympiacos;Win
Dortmund;Porto;Win
Fiorentina;Tottenham;Draw
Sporting CP;Leverkusen;Loss
Marseille;Athletic;Loss
Shakhtar Donetsk;Schalke;Draw
Sion;Braga;Loss
Galatasaray;Lazio;Draw
Sparta Praha;Krasnodar;Win
Augsburg;Liverpool;Draw
Valencia;Rapid Wien;Win
Braga;Sion;Draw
Lokomotiv Moskva;Fenerbahçe;Draw
Leverkusen;Sporting CP;Win
Athletic;Marseille;Draw
Schalke;Shakhtar Donetsk;Loss
Lazio;Galatasaray;Win
Krasnodar;Sparta Praha;Loss
Liverpool;Augsburg;Win
Rapid Wien;Valencia;Loss
Basel;St-Étienne;Win
Napoli;Villarreal;Draw
Molde;Sevilla;Win
Man. United;Midtjylland;Win
Olympiacos;Anderlecht;Loss
Porto;Dortmund;Loss
Tottenham;Fiorentina;Win
Fenerbahçe;Braga;Win
Dortmund;Tottenham;Win
